date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-06-15,4310.610337193698,3980.610337193698,330.0,3700.0,0.0
2004-06-16,4323.861972344113,3993.861972344113,330.0,3700.0,0.0
2004-06-17,4497.038032415409,4137.038032415409,360.0,3850.0,150.0
2004-06-18,4475.27596664239,4115.27596664239,360.0,3850.0,0.0
2004-06-21,4460.004322798752,4100.004322798752,360.0,3850.0,0.0
2004-06-22,4462.2214522768745,4102.2214522768745,360.0,3850.0,0.0
2004-06-23,4503.648940968016,4143.648940968016,360.0,3850.0,0.0
2004-06-24,4449.041281882535,4089.0412818825353,360.0,3850.0,0.0
2004-06-25,4507.366339390434,4147.366339390434,360.0,3850.0,0.0
2004-06-28,4419.655348409373,4059.6553484093724,360.0,3850.0,0.0
2004-06-29,4431.031116042512,4071.0311160425113,360.0,3850.0,0.0
2004-06-30,4414.512895666297,4054.5128956662966,360.0,3850.0,0.0
2004-07-01,4353.127923472297,3993.1279234722974,360.0,3850.0,0.0
2004-07-02,4324.331399275259,3964.331399275259,360.0,3850.0,0.0
2004-07-06,4301.148844414853,3941.148844414853,360.0,3850.0,0.0
2004-07-07,4296.383315723942,3936.3833157239424,360.0,3850.0,0.0
2004-07-08,4259.258514996824,3899.258514996824,360.0,3850.0,0.0
2004-07-09,4268.218858526499,3908.2188585264994,360.0,3850.0,0.0
2004-07-12,4273.234405104491,3913.234405104491,360.0,3850.0,0.0
2004-07-13,4273.361800589853,3913.361800589854,360.0,3850.0,0.0
2004-07-14,4276.863123736062,3916.8631237360623,360.0,3850.0,0.0
2004-07-15,4252.754476867838,3892.7544768678385,360.0,3850.0,0.0
2004-07-16,4213.434415261878,3853.4344152618773,360.0,3850.0,0.0
2004-07-19,4366.24289500674,4126.24289500674,240.0,4150.0,300.0
2004-07-20,4433.669744610011,4193.669744610011,240.0,4150.0,0.0
2004-07-21,4389.861698871658,4149.861698871658,240.0,4150.0,0.0
2004-07-22,4383.290621262013,4143.290621262013,240.0,4150.0,0.0
2004-07-23,4368.2553041779065,4128.2553041779065,240.0,4150.0,0.0
2004-07-26,4385.520669532972,4145.520669532972,240.0,4150.0,0.0
2004-07-27,4428.487942390326,4188.487942390326,240.0,4150.0,0.0
2004-07-28,4430.361446027817,4190.361446027817,240.0,4150.0,0.0
2004-07-29,4435.584875017993,4195.584875017993,240.0,4150.0,0.0
2004-07-30,4465.509442040722,4225.509442040722,240.0,4150.0,0.0
2004-08-02,4473.63942830305,4233.63942830305,240.0,4150.0,0.0
2004-08-03,4576.993995023731,4456.993995023731,120.0,4450.0,300.0
2004-08-04,4570.841168640976,4450.841168640976,120.0,4450.0,0.0
2004-08-05,4506.458070902441,4386.458070902441,120.0,4450.0,0.0
2004-08-06,4442.754869723095,4322.754869723095,120.0,4450.0,0.0
2004-08-09,4446.521288631728,4326.521288631728,120.0,4450.0,0.0
2004-08-10,4510.641591174169,4390.641591174169,120.0,4450.0,0.0
2004-08-11,4518.663807507191,4398.663807507191,120.0,4450.0,0.0
2004-08-12,4493.008272115578,4373.008272115578,120.0,4450.0,0.0
2004-08-13,4455.193055975901,4335.193055975901,120.0,4450.0,0.0
2004-08-16,4463.845107700666,4343.845107700666,120.0,4450.0,0.0
2004-08-17,4668.647233811774,4518.647233811774,150.0,4600.0,150.0
2004-08-18,4708.126501810546,4558.126501810546,150.0,4600.0,0.0
2004-08-19,4666.651127810589,4516.651127810589,150.0,4600.0,0.0
2004-08-20,4703.616497803367,4553.616497803367,150.0,4600.0,0.0
2004-08-23,4723.919375351812,4573.919375351812,150.0,4600.0,0.0
2004-08-24,4724.537230802573,4574.537230802573,150.0,4600.0,0.0
2004-08-25,4751.7476090007,4601.7476090007,150.0,4600.0,0.0
2004-08-26,4761.625552256935,4611.625552256935,150.0,4600.0,0.0
2004-08-27,4798.803290487641,4648.803290487641,150.0,4600.0,0.0
2004-08-30,4773.412951423134,4623.412951423134,150.0,4600.0,0.0
2004-08-31,4780.387127733589,4630.387127733589,150.0,4600.0,0.0
2004-09-01,4767.928428200806,4617.928428200806,150.0,4600.0,0.0
2004-09-02,4798.035083388961,4648.035083388961,150.0,4600.0,0.0
2004-09-03,4959.399872972658,4779.399872972658,180.0,4750.0,150.0
2004-09-07,4944.322864231894,4764.322864231894,180.0,4750.0,0.0
2004-09-08,4943.946274817656,4763.946274817656,180.0,4750.0,0.0
2004-09-09,4926.072345053669,4746.072345053669,180.0,4750.0,0.0
2004-09-10,4964.258363208093,4784.258363208093,180.0,4750.0,0.0
2004-09-13,5018.587006551559,4838.587006551559,180.0,4750.0,0.0
2004-09-14,4998.589086693939,4818.589086693939,180.0,4750.0,0.0
2004-09-15,4973.594324514685,4793.594324514685,180.0,4750.0,0.0
2004-09-16,4964.676009094017,4784.676009094017,180.0,4750.0,0.0
2004-09-17,5190.346355855031,4980.346355855031,210.0,4900.0,150.0
2004-09-20,5149.725491264906,4939.725491264906,210.0,4900.0,0.0
2004-09-21,5144.791489107211,4934.791489107211,210.0,4900.0,0.0
2004-09-22,5068.05014734303,4858.05014734303,210.0,4900.0,0.0
2004-09-23,5029.492264569284,4819.492264569284,210.0,4900.0,0.0
2004-09-24,5030.08224653028,4820.08224653028,210.0,4900.0,0.0
2004-09-27,4989.603446715161,4779.603446715161,210.0,4900.0,0.0
2004-09-28,5010.966251769359,4800.966251769359,210.0,4900.0,0.0
2004-09-29,5029.8141560716385,4819.8141560716385,210.0,4900.0,0.0
2004-09-30,4995.260496152255,4785.260496152255,210.0,4900.0,0.0
2004-10-01,5073.483235337142,4863.483235337142,210.0,4900.0,0.0
2004-10-04,5306.050490088564,5066.050490088564,240.0,5050.0,150.0
2004-10-05,5263.703255937798,5023.703255937798,240.0,5050.0,0.0
2004-10-06,5292.891016509768,5052.891016509768,240.0,5050.0,0.0
2004-10-07,5236.7110365208855,4996.7110365208855,240.0,5050.0,0.0
2004-10-08,5162.649625745076,4922.649625745076,240.0,5050.0,0.0
2004-10-11,5195.813683376138,4955.813683376138,240.0,5050.0,0.0
