date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-08-11,4633.05213864851,4543.05213864851,90.0,4600.0,0.0
2004-08-12,4606.5553899717315,4516.5553899717315,90.0,4600.0,0.0
2004-08-13,4567.498863301333,4477.498863301333,90.0,4600.0,0.0
2004-08-16,4576.43728001139,4486.43728001139,90.0,4600.0,0.0
2004-08-17,4782.049795640558,4662.049795640558,120.0,4750.0,150.0
2004-08-18,4822.784896854949,4702.784896854949,120.0,4750.0,0.0
2004-08-19,4779.99324778996,4659.99324778996,120.0,4750.0,0.0
2004-08-20,4818.130310131694,4698.130310131694,120.0,4750.0,0.0
2004-08-23,4839.075575962262,4719.075575962262,120.0,4750.0,0.0
2004-08-24,4839.714984040869,4719.714984040869,120.0,4750.0,0.0
2004-08-25,4867.788915522939,4747.788915522939,120.0,4750.0,0.0
2004-08-26,4877.980345710981,4757.980345710981,120.0,4750.0,0.0
2004-08-27,4916.336006815154,4796.336006815154,120.0,4750.0,0.0
2004-08-30,4890.143297021973,4770.143297021973,120.0,4750.0,0.0
2004-08-31,4897.336363809511,4777.336363809511,120.0,4750.0,0.0
2004-09-01,4884.483251022154,4764.483251022154,120.0,4750.0,0.0
2004-09-02,4915.543444681713,4795.543444681713,120.0,4750.0,0.0
2004-09-03,5076.317790869605,4926.317790869605,150.0,4900.0,150.0
2004-09-07,5060.780289729153,4910.780289729153,150.0,4900.0,0.0
2004-09-08,5060.388168038277,4910.388168038277,150.0,4900.0,0.0
2004-09-09,5041.968252864814,4891.968252864814,150.0,4900.0,0.0
2004-09-10,5081.326137624108,4931.326137624108,150.0,4900.0,0.0
2004-09-13,5137.324843008224,4987.324843008224,150.0,4900.0,0.0
2004-09-14,5116.7146697071385,4966.7146697071385,150.0,4900.0,0.0
2004-09-15,5090.949083455632,4940.949083455632,150.0,4900.0,0.0
2004-09-16,5081.7546441268805,4931.7546441268805,150.0,4900.0,0.0
2004-09-17,5308.831374172387,5128.831374172387,180.0,5050.0,150.0
2004-09-20,5267.003005852698,5087.003005852698,180.0,5050.0,0.0
2004-09-21,5261.919850017811,5081.919850017811,180.0,5050.0,0.0
2004-09-22,5182.888995463595,5002.888995463595,180.0,5050.0,0.0
2004-09-23,5143.182043280199,4963.182043280199,180.0,5050.0,0.0
2004-09-24,5143.789615139211,4963.789615139211,180.0,5050.0,0.0
2004-09-27,5102.104470539526,4922.104470539526,180.0,5050.0,0.0
2004-09-28,5124.103690413419,4944.103690413419,180.0,5050.0,0.0
2004-09-29,5143.514033257668,4963.514033257668,180.0,5050.0,0.0
2004-09-30,5107.92967871762,4927.92967871762,180.0,5050.0,0.0
2004-10-01,5188.487063913937,5008.487063913937,180.0,5050.0,0.0
2004-10-04,5422.619587044856,5212.619587044856,210.0,5200.0,150.0
2004-10-05,5379.045126817843,5169.045126817843,210.0,5200.0,0.0
2004-10-06,5409.077335476274,5199.077335476274,210.0,5200.0,0.0
2004-10-07,5351.273519740732,5141.273519740732,210.0,5200.0,0.0
2004-10-08,5275.068890496235,5065.068890496235,210.0,5200.0,0.0
2004-10-11,5309.19447387925,5099.19447387925,210.0,5200.0,0.0
2004-10-12,5294.596494879167,5084.596494879167,210.0,5200.0,0.0
2004-10-13,5260.302590316703,5050.302590316703,210.0,5200.0,0.0
2004-10-14,5210.39307335427,5000.39307335427,210.0,5200.0,0.0
2004-10-15,5223.199129480623,5013.199129480623,210.0,5200.0,0.0
2004-10-18,5443.8278472774,5203.8278472774,240.0,5350.0,150.0
2004-10-19,5396.742849455358,5156.742849455358,240.0,5350.0,0.0
2004-10-20,5338.580956593872,5098.580956593872,240.0,5350.0,0.0
2004-10-21,5366.4359705197285,5126.4359705197285,240.0,5350.0,0.0
2004-10-22,5270.518643394753,5030.518643394753,240.0,5350.0,0.0
2004-10-25,5212.054342626508,4972.054342626508,240.0,5350.0,0.0
2004-10-26,5302.142787403928,5062.142787403928,240.0,5350.0,0.0
2004-10-27,5367.141969721078,5127.141969721078,240.0,5350.0,0.0
2004-10-29,5346.020306626896,5106.020306626896,240.0,5350.0,0.0
2004-11-01,5382.71664734801,5142.71664734801,240.0,5350.0,0.0
2004-11-02,5398.4164322409415,5158.4164322409415,240.0,5350.0,0.0
2004-11-03,5562.420808064882,5292.420808064882,270.0,5500.0,150.0
2004-11-04,5633.798334650914,5363.798334650914,270.0,5500.0,0.0
2004-11-05,5623.11209465292,5353.11209465292,270.0,5500.0,0.0
2004-11-08,5603.293553118152,5333.293553118152,270.0,5500.0,0.0
2004-11-09,5616.443524102877,5346.443524102877,270.0,5500.0,0.0
2004-11-10,5604.9466182653805,5334.9466182653805,270.0,5500.0,0.0
2004-11-11,5645.090691064402,5375.090691064402,270.0,5500.0,0.0
2004-11-12,5674.816823605684,5404.816823605684,270.0,5500.0,0.0
2004-11-15,5728.064754350201,5458.064754350201,270.0,5500.0,0.0
2004-11-16,5656.972923359881,5386.972923359881,270.0,5500.0,0.0
2004-11-17,5861.7050438578,5561.7050438578,300.0,5650.0,150.0
2004-11-18,5931.760493060171,5631.760493060171,300.0,5650.0,0.0
2004-11-19,5796.223481858984,5496.223481858984,300.0,5650.0,0.0
2004-11-22,5798.31694333748,5498.31694333748,300.0,5650.0,0.0
2004-11-23,5808.099941570754,5508.099941570754,300.0,5650.0,0.0
2004-11-24,5792.282385333137,5492.282385333137,300.0,5650.0,0.0
2004-11-26,5773.221184065942,5473.221184065942,300.0,5650.0,0.0
2004-11-29,5790.393055636819,5490.393055636819,300.0,5650.0,0.0
2004-11-30,5804.319830215552,5504.319830215552,300.0,5650.0,0.0
2004-12-01,5846.729530858637,5546.729530858637,300.0,5650.0,0.0
2004-12-02,5902.512415431598,5602.512415431598,300.0,5650.0,0.0
2004-12-03,6057.1929969619405,5727.1929969619405,330.0,5800.0,150.0
2004-12-06,6107.245773118454,5777.245773118454,330.0,5800.0,0.0
2004-12-07,6088.732115087355,5758.732115087355,330.0,5800.0,0.0
2004-12-08,6162.657812167404,5832.657812167404,330.0,5800.0,0.0
2004-12-09,6211.6742691209,5881.6742691209,330.0,5800.0,0.0
2004-12-10,6225.300552160087,5895.300552160087,330.0,5800.0,0.0
2004-12-13,6296.117106755687,5966.117106755687,330.0,5800.0,0.0
2004-12-14,6364.72095086866,6034.72095086866,330.0,5800.0,0.0
2004-12-15,6309.19524764301,5979.19524764301,330.0,5800.0,0.0
2004-12-16,6348.6505378716865,6018.6505378716865,330.0,5800.0,0.0
2004-12-17,6464.286095335453,6104.286095335453,360.0,5950.0,150.0
2004-12-20,6466.313874353572,6106.313874353572,360.0,5950.0,0.0
2004-12-21,6508.330834072685,6148.330834072685,360.0,5950.0,0.0
2004-12-22,6579.844970100428,6219.844970100428,360.0,5950.0,0.0
2004-12-23,6552.847264173076,6192.847264173076,360.0,5950.0,0.0
2004-12-27,6465.860698884656,6105.860698884656,360.0,5950.0,0.0
2004-12-28,6489.725031186104,6129.725031186104,360.0,5950.0,0.0
2004-12-29,6461.484813616978,6101.484813616978,360.0,5950.0,0.0
2004-12-30,6424.738321007947,6064.738321007947,360.0,5950.0,0.0
2004-12-31,6396.644223533448,6036.644223533448,360.0,5950.0,0.0
2005-01-03,6581.690176872174,6191.690176872174,390.0,6100.0,150.0
2005-01-04,6573.8865592457505,6183.8865592457505,390.0,6100.0,0.0
2005-01-05,6547.306653890778,6157.306653890778,390.0,6100.0,0.0
2005-01-06,6633.703012027664,6243.703012027664,390.0,6100.0,0.0
2005-01-07,6604.566974866238,6214.566974866238,390.0,6100.0,0.0
2005-01-10,6580.196211132537,6190.196211132537,390.0,6100.0,0.0
2005-01-11,6527.973785741122,6137.973785741122,390.0,6100.0,0.0
2005-01-12,6460.31256272211,6070.31256272211,390.0,6100.0,0.0
2005-01-13,6415.182745776603,6025.182745776603,390.0,6100.0,0.0
2005-01-14,6503.376328485998,6113.376328485998,390.0,6100.0,0.0
2005-01-18,6620.9354889369515,6230.9354889369515,390.0,6100.0,0.0
2005-01-19,6580.427904104085,6190.427904104085,390.0,6100.0,0.0
2005-01-20,6565.256422787436,6175.256422787436,390.0,6100.0,0.0
2005-01-21,6443.317005750905,6053.317005750905,390.0,6100.0,0.0
2005-01-24,6468.149578325147,6078.149578325147,390.0,6100.0,0.0
2005-01-25,6540.643252928094,6150.643252928094,390.0,6100.0,0.0
2005-01-26,6549.072289006698,6159.072289006698,390.0,6100.0,0.0
2005-01-27,6582.095716283951,6192.095716283951,390.0,6100.0,0.0
2005-01-28,6585.098125615778,6195.098125615778,390.0,6100.0,0.0
2005-01-31,6634.689619147094,6244.689619147094,390.0,6100.0,0.0
2005-02-01,6631.760783384128,6241.760783384128,390.0,6100.0,0.0
2005-02-02,6680.137052151158,6290.137052151158,390.0,6100.0,0.0
2005-02-03,6857.9818881200135,6437.9818881200135,420.0,6250.0,150.0
2005-02-04,6972.875805926571,6552.875805926571,420.0,6250.0,0.0
2005-02-07,6995.062535699029,6575.062535699029,420.0,6250.0,0.0
2005-02-08,6969.161714309746,6549.161714309746,420.0,6250.0,0.0
2005-02-09,6913.88077708999,6493.88077708999,420.0,6250.0,0.0
2005-02-10,6908.553145579633,6488.553145579633,420.0,6250.0,0.0
2005-02-11,6922.213900036418,6502.213900036418,420.0,6250.0,0.0
2005-02-14,6917.367024980811,6497.367024980811,420.0,6250.0,0.0
2005-02-15,6925.213075349335,6505.213075349335,420.0,6250.0,0.0
2005-02-16,6959.654928645354,6539.654928645354,420.0,6250.0,0.0
2005-02-17,7043.766115405031,6593.766115405031,450.0,6400.0,150.0
2005-02-18,7086.938165342137,6636.938165342137,450.0,6400.0,0.0
2005-02-22,6941.132340209367,6491.132340209367,450.0,6400.0,0.0
2005-02-23,7107.110775580182,6657.110775580182,450.0,6400.0,0.0
2005-02-24,7109.80445770531,6659.80445770531,450.0,6400.0,0.0
2005-02-25,7172.468064417598,6722.468064417598,450.0,6400.0,0.0
2005-02-28,7097.47530703652,6647.47530703652,450.0,6400.0,0.0
2005-03-01,7165.72375865112,6715.72375865112,450.0,6400.0,0.0
2005-03-02,7148.333415456591,6698.333415456591,450.0,6400.0,0.0
2005-03-03,7359.782878222325,6879.782878222325,480.0,6550.0,150.0
2005-03-04,7378.823658719984,6898.823658719984,480.0,6550.0,0.0
2005-03-07,7365.378940112671,6885.378940112671,480.0,6550.0,0.0
2005-03-08,7248.023972888397,6768.023972888397,480.0,6550.0,0.0
2005-03-09,7140.20700813164,6660.20700813164,480.0,6550.0,0.0
2005-03-10,7134.041306188523,6654.041306188523,480.0,6550.0,0.0
2005-03-11,7104.423708431253,6624.423708431253,480.0,6550.0,0.0
2005-03-14,7156.196809080375,6676.196809080375,480.0,6550.0,0.0
2005-03-15,7099.987931294266,6619.987931294266,480.0,6550.0,0.0
2005-03-16,7019.321062503671,6539.321062503671,480.0,6550.0,0.0
2005-03-17,7202.690594384273,6692.690594384273,510.0,6700.0,150.0
2005-03-18,7178.93012038169,6668.93012038169,510.0,6700.0,0.0
2005-03-21,7210.63902879924,6700.63902879924,510.0,6700.0,0.0
2005-03-22,7134.879033499154,6624.879033499154,510.0,6700.0,0.0
2005-03-23,7175.095490283909,6665.095490283909,510.0,6700.0,0.0
2005-03-24,7183.619603556723,6673.619603556723,510.0,6700.0,0.0
2005-03-28,7210.899561346025,6700.899561346025,510.0,6700.0,0.0
2005-03-29,7118.829822959184,6608.829822959184,510.0,6700.0,0.0
2005-03-30,7249.519036797298,6739.519036797298,510.0,6700.0,0.0
2005-03-31,7197.720443835372,6687.720443835372,510.0,6700.0,0.0
2005-04-01,7188.583100996123,6678.583100996123,510.0,6700.0,0.0
2005-04-04,7429.579211078893,7039.579211078893,390.0,7000.0,300.0
2005-04-05,7439.949328374062,7049.949328374062,390.0,7000.0,0.0
2005-04-06,7488.208127406529,7098.208127406529,390.0,7000.0,0.0
2005-04-07,7528.266933597364,7138.266933597364,390.0,7000.0,0.0
2005-04-08,7495.6255707481605,7105.6255707481605,390.0,7000.0,0.0
2005-04-11,7520.699311250477,7130.699311250477,390.0,7000.0,0.0
2005-04-12,7582.5267357553,7192.5267357553,390.0,7000.0,0.0
2005-04-13,7497.116554761394,7107.116554761394,390.0,7000.0,0.0
2005-04-14,7431.624000146814,7041.624000146814,390.0,7000.0,0.0
2005-04-15,7356.557239108238,6966.557239108238,390.0,7000.0,0.0
2005-04-18,7556.800316811022,7136.800316811022,420.0,7150.0,150.0
2005-04-19,7559.844902255658,7139.844902255658,420.0,7150.0,0.0
